时刻k	输出y	控制增量ud
0	0.000	6.908
1	6.908	-10.523
2	10.200	0.452
3	10.330	2.693
4	9.988	0.757
5	9.934	-0.182
6	9.984	-0.134
7	10.006	0.005
8	10.003	0.023
9	10.000	0.004
10	9.999	-0.002
11	10.000	-0.001
12	10.000	0.000
13	10.000	0.000
14	10.000	0.000
15	10.000	-0.000
16	10.000	-0.000
17	10.000	0.000
18	10.000	0.000
19	10.000	0.000
20	10.000	6.908
21	16.908	-10.523
22	20.200	0.452
23	20.330	2.693
24	19.988	0.757
25	19.934	-0.182
26	19.984	-0.134
27	20.006	0.005
28	20.003	0.023
29	20.000	0.004
30	19.999	-0.002
31	20.000	-0.001
32	20.000	0.000
33	20.000	0.000
34	20.000	0.000
35	20.000	-0.000
36	20.000	-0.000
37	20.000	0.000
38	20.000	0.000
39	20.000	0.000
40	20.000	6.908
41	26.908	-10.523
42	30.200	0.452
43	30.330	2.693
44	29.988	0.757
45	29.934	-0.182
46	29.984	-0.134
47	30.006	0.005
48	30.003	0.023
49	30.000	0.004
50	29.999	-0.002
51	30.000	-0.001
52	30.000	0.000
53	30.000	0.000
54	30.000	0.000
55	30.000	-0.000
56	30.000	-0.000
57	30.000	0.000
58	30.000	0.000
59	30.000	0.000
60	30.000	-13.816
61	16.184	21.046
62	9.600	-0.904
63	9.341	-5.385
64	10.023	-1.514
65	10.132	0.364
66	10.031	0.268
67	9.988	-0.010
68	9.993	-0.046
69	10.001	-0.009
70	10.001	0.005
71	10.000	0.002
72	10.000	-0.000
73	10.000	-0.000
74	10.000	-0.000
75	10.000	0.000
76	10.000	0.000
77	10.000	-0.000
78	10.000	-0.000
79	10.000	-0.000
