时刻k	输出y	控制增量ud
0	-0.803	16.853
1	15.162	-32.685
2	14.268	14.188
3	11.498	3.057
4	10.710	-1.277
5	10.675	-0.692
6	9.941	1.035
7	8.898	1.017
8	8.976	-0.865
9	9.972	-1.366
10	9.591	1.435
11	9.782	-0.571
12	10.891	-1.543
13	11.060	0.561
14	11.127	-0.089
15	10.688	0.605
16	9.782	0.962
17	9.943	-0.987
18	10.631	-0.931
19	10.473	0.750
20	10.382	15.552
21	25.753	-31.300
22	24.469	14.224
23	19.802	5.665
24	17.400	-0.149
25	16.671	-0.567
26	16.725	-0.299
27	16.840	0.259
28	16.617	0.824
29	16.678	0.123
30	17.542	-0.898
31	17.718	0.746
32	18.285	-0.463
33	18.666	0.087
34	18.816	0.247
35	18.331	1.024
36	17.622	0.899
37	17.821	-0.620
38	17.845	0.391
39	18.205	-0.282
40	19.508	14.086
41	36.267	-32.192
42	36.651	12.728
43	34.305	3.184
44	32.964	-0.395
45	32.448	-0.677
46	32.976	-1.551
47	32.116	1.427
48	30.834	1.024
49	31.127	-1.634
50	31.905	-1.103
51	32.016	0.252
52	32.074	-0.238
53	31.673	0.424
54	30.999	0.514
55	29.992	0.884
56	29.303	0.230
57	28.221	1.193
58	27.884	-0.169
59	27.789	0.119
60	29.006	-32.914
61	-1.266	62.768
62	0.431	-26.724
63	7.189	-7.969
64	10.964	0.126
65	12.533	0.607
66	13.486	-0.473
67	13.399	0.519
68	13.640	-0.858
69	13.831	-0.531
70	13.574	0.101
71	13.908	-1.166
72	14.317	-0.825
73	14.893	-1.074
74	14.856	-0.045
75	13.919	0.847
76	12.884	0.359
77	12.931	-1.290
78	11.802	1.451
79	10.259	1.242
