时刻k	被控对象阶跃响应
0	0.0000	
1	1.0000	
2	3.0000	
3	6.0000	
4	10.0000	
5	15.0000	
6	21.0000	
7	28.0000	
8	36.0000	
9	45.0000	
10	55.0000	
11	66.0000	
12	78.0000	
13	91.0000	
14	105.0000	
15	120.0000	
16	136.0000	
17	153.0000	
18	171.0000	
19	190.0000	
20	210.0000	
21	231.0000	
22	253.0000	
23	276.0000	
24	300.0000	
25	325.0000	
26	351.0000	
27	378.0000	
28	406.0000	
29	435.0000	
30	465.0000	
31	496.0000	
32	528.0000	
33	561.0000	
34	595.0000	
35	630.0000	
36	666.0000	
37	703.0000	
38	741.0000	
39	780.0000	
40	820.0000	
